:START_ID,:END_ID,:TYPE
formula_1,revenue,USES
formula_1,shares_outstanding,USES
formula_2,net_profit,USES
formula_2,depreciation_amortization,USES
formula_2,shares_outstanding,USES
formula_3,net_profit,USES
formula_3,diluted_shares_outstanding,USES
formula_4,total_dividends,USES
formula_4,diluted_shares_outstanding,USES
formula_5,capital_expenditure,USES
formula_5,shares_outstanding,USES
formula_6,shareholders_equity,USES
formula_6,shares_outstanding,USES
formula_7,average_annual_price,USES
formula_7,eps,USES
formula_8,avg_pe_ratio,USES
formula_8,market_avg_pe,USES
formula_9,annual_dividends,USES
formula_9,average_share_price,USES
formula_10,operating_income,USES
formula_10,depreciation_amortization,USES
formula_10,revenue,USES
formula_11,pretax_income,USES
formula_11,income_tax,USES
formula_12,income_tax,USES
formula_12,pretax_income,USES
formula_13,net_profit,USES
formula_13,revenue,USES
formula_14,current_assets,USES
formula_14,current_liability,USES
formula_15,net_profit,USES
formula_15,shareholders_equity,USES
formula_16,net_profit,USES
formula_16,long_term_debt,USES
formula_16,income_tax_rate,USES
formula_16,shareholders_equity,USES
formula_17,retained_earnings,USES
formula_17,shareholders_equity,USES
formula_18,total_dividends,USES
formula_18,net_profit,USES
formula_19,volume_traded,USES
formula_19,shares_outstanding,USES
formula_20,long_term_debt,USES
formula_20,short_term_debt,USES
formula_21,cash_and_cash_equivalents,USES
formula_21,marketable_securities,USES
formula_22,cash_assets,USES
formula_22,receivables,USES
formula_22,inventory_fifo,USES
formula_22,other_current_assets,USES
formula_23,accounts_payable,USES
formula_23,debt_due,USES
formula_23,other_current_liability,USES
