:ID,view_name,level,parent_id
view_1,企业价值,1,
view_2,股东价值,2,view_1
view_3,估值水平,1,
view_4,营收水平,2,view_1
view_5,市盈率,2,view_3
view_6,股息,2,view_3
view_7,营收水平,2,view_1
view_8,现金流水平,2,view_1
view_9,净利润水平,2,view_1
view_10,资本结构健康度,2,view_1
view_11,资本回报率,2,view_1
view_12,流动资本安全性,3,view_10
view_13,资本回报率,2,view_1
view_14,资本分配效率,2,view_1
view_15,股价,2,view_3
view_16,风险水平,2,view_3
view_17,交易量,2,view_3
view_18,Debt结构,3,view_10
view_19,隐形债务,3,view_10
view_20,特殊债务,3,view_10
view_21,股份数量,3,view_10
view_22,市值,3,view_10
view_23,增长率,3,view_2
view_24,季度营收,3,view_7
view_25,季度股东价值,3,view_2
view_26,季度股息,3,view_6
