metric_id,metric_name,us_gaap_concept,mapping_status,confidence,mapping_method
metric_001,MarketableSecuritiesCurrent,us-gaap:MarketableSecuritiesCurrent,mapped,0.9,concept_explainer
metric_002,InventoryNet,us-gaap:InventoryNet,mapped,0.9,concept_explainer
metric_003,EarningsPerShareBasic,us-gaap:EarningsPerShareBasic,mapped,0.9,concept_explainer
metric_004,Cash,us-gaap:Cash,mapped,0.9,concept_explainer
metric_005,OperatingIncomeLoss,us-gaap:OperatingIncomeLoss,mapped,0.9,concept_explainer
metric_006,OperatingExpenses,us-gaap:OperatingExpenses,mapped,0.9,concept_explainer
metric_007,CashAndCashEquivalentsAtCarryingValue,us-gaap:CashAndCashEquivalentsAtCarryingValue,mapped,0.9,concept_explainer
metric_008,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,mapped,0.9,concept_explainer
metric_009,CommercialPaper,us-gaap:CommercialPaper,mapped,0.9,concept_explainer
metric_010,IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,mapped,0.9,concept_explainer
metric_011,ShareBasedCompensation,us-gaap:ShareBasedCompensation,mapped,0.9,concept_explainer
metric_012,PaymentsForRepurchaseOfCommonStock,us-gaap:PaymentsForRepurchaseOfCommonStock,mapped,0.9,concept_explainer
metric_013,NetCashProvidedByUsedInFinancingActivities,us-gaap:NetCashProvidedByUsedInFinancingActivities,mapped,0.9,concept_explainer
metric_014,Dividends,us-gaap:Dividends,mapped,0.9,concept_explainer
metric_015,AccountsReceivableNetCurrent,us-gaap:AccountsReceivableNetCurrent,mapped,0.9,concept_explainer
metric_016,Assets,us-gaap:Assets,mapped,0.9,concept_explainer
metric_017,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,mapped,0.9,concept_explainer
metric_018,CostOfRevenue,us-gaap:CostOfRevenue,mapped,0.9,concept_explainer
metric_019,NetCashProvidedByUsedInOperatingActivities,us-gaap:NetCashProvidedByUsedInOperatingActivities,mapped,0.9,concept_explainer
metric_020,Revenues,us-gaap:Revenues,mapped,0.9,concept_explainer
metric_021,LongTermDebtCurrent,us-gaap:LongTermDebtCurrent,mapped,0.9,concept_explainer
metric_022,PaymentsOfDividends,us-gaap:PaymentsOfDividends,mapped,0.9,concept_explainer
metric_023,AssetsCurrent,us-gaap:AssetsCurrent,mapped,0.9,concept_explainer
metric_024,AccountsPayableCurrent,us-gaap:AccountsPayableCurrent,mapped,0.9,concept_explainer
metric_025,CommonStockDividendsPerShareDeclared,us-gaap:CommonStockDividendsPerShareDeclared,mapped,0.9,concept_explainer
metric_026,NetCashProvidedByUsedInInvestingActivities,us-gaap:NetCashProvidedByUsedInInvestingActivities,mapped,0.9,concept_explainer
metric_027,LongTermDebtNoncurrent,us-gaap:LongTermDebtNoncurrent,mapped,0.9,concept_explainer
metric_028,EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted,mapped,0.9,concept_explainer
metric_029,StockholdersEquity,us-gaap:StockholdersEquity,mapped,0.9,concept_explainer
metric_030,LiabilitiesNoncurrent,us-gaap:LiabilitiesNoncurrent,mapped,0.9,concept_explainer
metric_031,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit,mapped,0.9,concept_explainer
metric_032,GrossProfit,us-gaap:GrossProfit,mapped,0.9,concept_explainer
metric_033,Liabilities,us-gaap:Liabilities,mapped,0.9,concept_explainer
metric_034,DepreciationDepletionAndAmortization,us-gaap:DepreciationDepletionAndAmortization,mapped,0.9,concept_explainer
metric_035,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent,mapped,0.9,concept_explainer
metric_036,NetIncomeLoss,us-gaap:NetIncomeLoss,mapped,0.9,concept_explainer
metric_037,AssetsNoncurrent,us-gaap:AssetsNoncurrent,mapped,0.9,concept_explainer
