id,name,type,namespace,chinese_name,metric_type,source
us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,GAAP_CONCEPT,us-gaap,,,
us-gaap:LiabilitiesCurrent,LiabilitiesCurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,GAAP_CONCEPT,us-gaap,,,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,GAAP_CONCEPT,us-gaap,,,
us-gaap:EarningsPerShareDiluted,EarningsPerShareDiluted,GAAP_CONCEPT,us-gaap,,,
us-gaap:OtherLiabilitiesCurrent,OtherLiabilitiesCurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:AssetsCurrent,AssetsCurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,GAAP_CONCEPT,us-gaap,,,
us-gaap:PaymentsOfDividends,PaymentsOfDividends,GAAP_CONCEPT,us-gaap,,,
us-gaap:RetainedEarningsAccumulatedDeficit,RetainedEarningsAccumulatedDeficit,GAAP_CONCEPT,us-gaap,,,
us-gaap:LongTermDebtCurrent,LongTermDebtCurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:CommonStockSharesOutstanding,CommonStockSharesOutstanding,GAAP_CONCEPT,us-gaap,,,
us-gaap:LongTermDebtNoncurrent,LongTermDebtNoncurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:InventoryNet,InventoryNet,GAAP_CONCEPT,us-gaap,,,
us-gaap:NetIncomeLoss,NetIncomeLoss,GAAP_CONCEPT,us-gaap,,,
us-gaap:DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,GAAP_CONCEPT,us-gaap,,,
us-gaap:AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,GAAP_CONCEPT,us-gaap,,,
us-gaap:StockholdersEquity,StockholdersEquity,GAAP_CONCEPT,us-gaap,,,
us-gaap:IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,GAAP_CONCEPT,us-gaap,,,
us-gaap:OperatingIncomeLoss,OperatingIncomeLoss,GAAP_CONCEPT,us-gaap,,,
